DeliveryPersonAge,DeliveryPersonRatings,RestaurantLatitude,RestaurantLongitude,DeliveryLocationLatitude,DeliveryLocationLongitude,TimeOrdered,TimeOrderPickedUp,WeatherCondition,RoadTrafficDensity,VehicleCondition,TypeOfOrder,VehicleType,MultipleDeliveries,City,TimeTaken(min)
27,4.7,19.22384,72.841347,19.27384,72.891347,18:10,18:20,2,3,1,1,3,1.0,1,23.0
31,3.8,30.885814,75.786976,30.995814,75.896976,22:55,23:10,1,2,1,0,3,2.0,1,35.0
31,4.5,19.178321,72.834715,19.198321,72.854715,8:25,8:30,1,2,0,0,3,0.0,1,22.0
37,4.6,0.0,0.0,0.06,0.06,22:15,22:20,6,2,1,0,3,1.0,3,20.0
38,4.9,30.327968,78.046106,30.367968,78.086106,15:35,15:40,0,3,1,2,4,1.0,1,18.0
25,4.1,12.323978,76.627961,12.373978,76.677961,23:55,24:05,3,2,0,0,3,1.0,3,20.0
31,4.6,12.98041,77.640489,13.01041,77.670489,20:45,20:55,3,1,2,3,3,1.0,1,30.0
36,4.0,0.0,0.0,0.07,0.07,23:15,23:30,1,2,0,2,3,1.0,3,39.0
28,4.7,23.359194,85.325447,23.389194,85.355447,18:50,18:60,0,3,1,2,4,0.0,1,10.0
23,4.7,0.0,0.0,0.11,0.11,23:10,23:25,2,2,2,3,3,1.0,1,12.0
31,4.8,12.934179,77.615797,12.994179,77.675797,17:25,17:30,4,3,0,2,3,1.0,1,26.0
31,4.7,22.310526,73.170937,22.390526,73.250937,23:20,23:30,1,2,0,0,3,1.0,1,41.0
37,4.9,17.438263,78.397865,17.568263,78.527865,22:20,22:30,2,2,1,0,3,1.0,3,15.0
32,4.9,13.027018,80.254791,13.067018,80.294791,14:55,15:05,2,0,2,2,3,1.0,1,30.0
29,4.9,12.933284,77.615428,13.023284,77.705428,20:25,20:30,2,1,0,3,3,1.0,1,25.0
