DeliveryPersonAge,DeliveryPersonRatings,TimeOrdered,TimeOrderPickedUp,WeatherCondition,RoadTrafficDensity,VehicleCondition,TypeOfOrder,VehicleType,MultipleDeliveries,City,Distance(km)
39,4.5,9.5,9.55,Stormy,Low,1,Drinks,Scooter,0.0,Metropolitan,2.9303382895478234
36,4.4,17.55,17.6,Fog,Medium,1,Snack,Motorcycle,0.0,Metropolitan,16.72059667667709
33,4.7,10.2,10.25,Cloudy,Low,0,Meal,Motorcycle,1.0,Metropolitan,1.488122293779747
36,4.9,17.1,17.15,Sandstorms,Medium,0,Snack,Motorcycle,1.0,Metropolitan,4.4766822068479915
24,4.5,19.25,19.4,Sandstorms,Jam,1,Snack,Scooter,1.0,Urban,13.583440059634135
23,4.9,18.25,18.3,Cloudy,Medium,2,Snack,Motorcycle,2.0,Metropolitan,10.721987300671117
26,4.9,21.15,21.2,Fog,Jam,0,Snack,Motorcycle,1.0,Metropolitan,13.681416111912892
36,4.6,19.4,19.55,Sandstorms,Jam,1,Meal,Scooter,1.0,Metropolitan,19.043182177181123
31,4.5,20.2,20.3,Stormy,Jam,2,Buffet,Motorcycle,1.0,Urban,13.413644078076244
31,4.1,10.4,10.45,Stormy,Low,0,Snack,Motorcycle,1.0,Metropolitan,3.040554821797033
39,4.8,16.3,16.45,Sunny,Medium,2,Buffet,ElectricScooter,1.0,Metropolitan,6.117673772819904
36,4.9,23.6,24.05,Stormy,Low,1,Drinks,Scooter,1.0,Metropolitan,7.683253857182166
38,4.0,13.25,13.3,Sandstorms,High,1,Drinks,Scooter,1.0,Metropolitan,5.8606134005008785
39,4.6,17.3,17.35,Sunny,Medium,0,Drinks,Motorcycle,1.0,Metropolitan,7.772466272035551
31,4.4,19.15,19.3,Stormy,Jam,1,Meal,Motorcycle,1.0,Metropolitan,4.596951629499115
25,4.9,11.5,11.55,Windy,High,2,Buffet,Scooter,1.0,Metropolitan,1.5321547990764783
35,4.3,21.45,21.6,Windy,Jam,1,Buffet,Motorcycle,1.0,Metropolitan,12.20989608429735
36,4.8,16.4,16.55,Fog,Medium,0,Meal,Motorcycle,1.0,Metropolitan,6.218076509100711
38,4.6,23.15,23.3,Cloudy,Low,1,Snack,Scooter,0.0,Urban,10.587819003215479
21,5.0,17.1,17.15,Fog,Medium,1,Buffet,Scooter,0.0,Urban,4.469162258883671
39,4.5,17.25,17.4,Stormy,Medium,2,Buffet,Scooter,1.0,Metropolitan,13.829314445199353
29,4.9,20.2,20.25,Stormy,Jam,1,Snack,Scooter,0.0,Metropolitan,13.971950882978046
27,4.5,17.25,17.3,Sandstorms,Medium,1,Drinks,Motorcycle,0.0,Urban,7.60168152834193
20,4.7,15.3,15.45,Sunny,Medium,2,Meal,Scooter,1.0,Metropolitan,6.14663364596065
35,4.7,13.2,13.35,Stormy,High,2,Snack,Scooter,1.0,Urban,6.209976450705328
24,4.9,18.15,18.3,Cloudy,Medium,1,Drinks,Scooter,0.0,Metropolitan,16.60246716832672
31,4.7,23.25,23.4,Stormy,Low,0,Meal,Motorcycle,1.0,Metropolitan,20.851557402660557
38,4.8,8.6,9.1,Windy,Low,2,Drinks,ElectricScooter,1.0,Urban,3.0406911398037053
35,4.8,17.5,17.55,Sandstorms,Medium,1,Meal,Motorcycle,1.0,Metropolitan,13.62208523449083
26,3.9,11.6,12.05,Sunny,High,0,Buffet,Motorcycle,1.0,Urban,1.5299884479314707
37,4.3,22.35,22.4,Fog,Low,0,Meal,Motorcycle,2.0,Metropolitan,10.425475100056353
34,4.5,20.4,20.5,Windy,Jam,2,Snack,Motorcycle,0.0,Metropolitan,7.761284984440735
36,4.8,20.35,20.45,Sunny,Jam,1,Meal,Motorcycle,0.0,Metropolitan,7.573470125639189
26,4.7,23.15,23.2,Cloudy,Low,0,Meal,Motorcycle,0.0,Metropolitan,7.6481792534738355
24,4.6,17.15,17.3,Cloudy,Medium,0,Snack,Motorcycle,1.0,Metropolitan,7.790525266841046
21,4.8,20.5,20.55,Stormy,Jam,1,Snack,Motorcycle,1.0,Metropolitan,13.612154686696366
31,3.7,18.15,18.3,Stormy,Medium,1,Snack,Scooter,1.0,Metropolitan,17.137414711878986
31,5.0,10.45,10.55,Sunny,Low,1,Drinks,Scooter,1.0,Urban,1.5093577696337532
29,4.6,12.15,12.2,Sandstorms,High,1,Meal,Scooter,1.0,Metropolitan,6.081440797008078
25,4.6,11.15,11.3,Windy,High,2,Meal,Scooter,1.0,Metropolitan,3.025059809277375
38,4.7,22.15,22.2,Windy,Low,2,Buffet,Scooter,1.0,Metropolitan,10.416963824321584
39,4.8,21.4,21.45,Fog,Jam,1,Meal,Scooter,1.0,Metropolitan,16.660108123693192
30,4.6,13.6,14.15,Cloudy,High,1,Meal,Scooter,0.0,Urban,6.036244196933988
33,4.8,19.5,20.05,Sunny,Jam,1,Snack,Motorcycle,1.0,Urban,7.790160607220383
30,4.6,13.1,13.15,Windy,High,1,Buffet,Motorcycle,1.0,Metropolitan,6.058848944530401
32,4.9,11.35,11.4,Sunny,High,1,Snack,Motorcycle,1.0,Metropolitan,1.5321890925569548
38,3.8,19.4,19.55,Stormy,Jam,2,Buffet,Scooter,1.0,Metropolitan,12.256927745913815
23,4.6,10.15,10.3,Cloudy,Low,1,Drinks,Motorcycle,0.0,Metropolitan,3.1089029191679383
24,4.8,18.55,18.6,Cloudy,Medium,1,Buffet,Scooter,1.0,Metropolitan,4.464795317864735
21,4.6,13.45,13.6,Sandstorms,High,2,Buffet,Scooter,1.0,Urban,6.242544780458512
32,4.9,19.2,19.25,Fog,Jam,0,Drinks,Motorcycle,1.0,Metropolitan,19.042397449611613
24,4.7,23.5,24.05,Windy,Low,2,Buffet,Scooter,1.0,Metropolitan,4.657159718107683
28,4.8,18.15,18.25,Sunny,Medium,0,Snack,Motorcycle,1.0,Metropolitan,7.761726486394523
38,4.7,19.6,20.1,Fog,Jam,0,Buffet,Motorcycle,2.0,Metropolitan,16.85352490584544
32,4.8,22.35,22.4,Sunny,Low,0,Drinks,Motorcycle,1.0,Metropolitan,7.54626481457244
36,4.8,21.45,21.55,Sandstorms,Jam,0,Drinks,Motorcycle,0.0,Metropolitan,9.157330481427099
36,4.9,12.6,13.1,Sandstorms,High,2,Drinks,Scooter,1.0,Metropolitan,5.9587562421893265
24,4.6,23.55,24.1,Sandstorms,Low,0,Snack,Motorcycle,0.0,Metropolitan,10.602497166339631
37,4.7,23.55,24.1,Stormy,Low,2,Snack,ElectricScooter,1.0,Metropolitan,12.417487520918895
32,4.9,20.6,21.05,Stormy,Jam,1,Meal,Scooter,1.0,Urban,4.560734055769101
21,4.8,16.25,16.4,Sandstorms,Medium,2,Buffet,Motorcycle,1.0,Metropolitan,6.210607623190057
32,4.3,17.25,17.3,Sunny,Medium,0,Snack,Motorcycle,1.0,Metropolitan,12.078017632301941
39,4.7,22.45,22.5,Fog,Low,2,Drinks,Motorcycle,1.0,Urban,7.448298968601334
39,5.0,17.6,18.15,Cloudy,Medium,2,Meal,Scooter,0.0,Metropolitan,7.760775621293676
29,4.5,17.15,17.3,Windy,Medium,2,Snack,ElectricScooter,1.0,Metropolitan,12.420750050313671
20,5.0,20.15,20.3,Sandstorms,Jam,1,Drinks,Motorcycle,0.0,Metropolitan,13.735965288529389
29,4.7,17.15,17.2,Stormy,Medium,2,Snack,Motorcycle,0.0,Metropolitan,16.9816045075895
21,4.7,22.55,23.05,Stormy,Low,1,Buffet,Motorcycle,1.0,Metropolitan,16.824864367093813
32,4.7,13.45,13.6,Sunny,High,2,Buffet,Scooter,1.0,Urban,5.9592931098219735
27,4.6,20.55,21.05,Stormy,Jam,1,Drinks,Motorcycle,1.0,Metropolitan,7.761486237714824
26,4.7,10.2,10.3,Fog,Low,1,Snack,Scooter,0.0,Metropolitan,3.05960707159485
23,4.9,21.45,21.6,Stormy,Jam,1,Drinks,Motorcycle,1.0,Metropolitan,13.184836004654946
28,5.0,23.1,23.2,Windy,Low,1,Drinks,Motorcycle,1.0,Urban,9.075387359616569
21,4.8,17.35,17.45,Sunny,Medium,1,Drinks,Scooter,1.0,Urban,16.903235903519843
20,4.8,18.25,18.35,Windy,Medium,2,Meal,Scooter,1.0,Metropolitan,7.772207463584183
28,5.0,23.35,23.45,Sandstorms,Low,1,Drinks,Motorcycle,0.0,Metropolitan,19.76171176132034
20,4.7,23.5,24.05,Sandstorms,Low,1,Drinks,Motorcycle,1.0,Urban,13.62208523449083
35,4.7,20.45,20.6,Cloudy,Jam,0,Meal,Motorcycle,1.0,Metropolitan,10.64228895373868
36,4.8,23.35,23.4,Windy,Low,1,Snack,Motorcycle,0.0,Metropolitan,7.763196932715946
21,4.8,21.55,22.1,Sandstorms,Jam,1,Drinks,Scooter,0.0,Urban,7.790401360105752
30,4.9,21.35,21.5,Fog,Jam,1,Drinks,Motorcycle,1.0,Urban,8.938197833558919
34,4.8,23.6,24.15,Stormy,Low,2,Snack,Scooter,1.0,Metropolitan,7.790237052802913
34,4.5,20.1,20.2,Sunny,Jam,0,Snack,Motorcycle,1.0,Metropolitan,4.657987774595948
37,4.8,8.1,8.2,Fog,Low,0,Snack,Motorcycle,0.0,Metropolitan,3.0589506421330555
38,4.7,18.1,18.15,Windy,Medium,2,Drinks,Motorcycle,1.0,Metropolitan,4.494291162003504
35,5.0,23.15,23.3,Sandstorms,Low,2,Snack,Scooter,1.0,Metropolitan,19.760743726313585
31,4.7,13.15,13.2,Cloudy,High,1,Snack,Scooter,0.0,Metropolitan,5.960265171500215
29,4.9,23.1,23.15,Windy,Low,1,Buffet,Motorcycle,1.0,Metropolitan,7.566949319257016
21,4.6,23.2,23.3,Windy,Low,2,Snack,Scooter,0.0,Urban,14.045053524690072
25,4.8,22.1,22.15,Fog,Low,2,Drinks,Scooter,1.0,Urban,8.952548604467738
33,4.4,20.25,20.3,Cloudy,Jam,2,Drinks,ElectricScooter,0.0,Urban,16.851371030914212
36,4.3,14.6,15.15,Cloudy,High,2,Buffet,Motorcycle,2.0,Urban,6.050355980667947
25,4.2,20.25,20.3,Cloudy,Jam,2,Meal,Scooter,1.0,Urban,12.419848147906496
38,4.1,21.1,21.15,Sunny,Jam,1,Buffet,Motorcycle,0.0,Urban,10.587145367062044
36,4.2,19.3,19.35,Fog,Jam,2,Snack,Scooter,1.0,Metropolitan,10.756697879102619
36,4.7,22.1,22.2,Sunny,Low,1,Meal,Motorcycle,1.0,Metropolitan,12.292885177860324
27,4.7,19.2,19.3,Windy,Jam,1,Buffet,Scooter,1.0,Metropolitan,10.756383853403822
38,4.8,21.1,21.2,Sunny,Jam,2,Drinks,ElectricScooter,0.0,Metropolitan,10.564405615161895
33,4.3,20.25,20.3,Stormy,Jam,0,Drinks,Motorcycle,1.0,Metropolitan,11.747351283055355
33,4.8,18.15,18.25,Sunny,Medium,2,Buffet,Motorcycle,1.0,Urban,4.65713301884333
28,4.9,19.3,19.45,Sunny,Jam,2,Drinks,ElectricScooter,0.0,Metropolitan,17.138041435510257
21,4.7,19.25,19.35,Stormy,Jam,2,Meal,Scooter,0.0,Metropolitan,4.469351491411031
33,4.6,17.1,17.15,Fog,Medium,0,Buffet,Motorcycle,1.0,Metropolitan,10.865776701899678
33,4.1,20.35,20.4,Windy,Jam,0,Drinks,Motorcycle,1.0,Urban,12.29378731203682
31,5.0,8.55,9.05,Sunny,Low,0,Meal,Motorcycle,1.0,Metropolitan,3.116148933802629
30,4.2,13.6,14.05,Windy,High,0,Snack,Motorcycle,0.0,Metropolitan,5.958831946914462
28,4.8,15.6,16.1,Sandstorms,Medium,0,Buffet,Motorcycle,1.0,Urban,6.210141144622587
37,4.1,17.4,17.55,Sandstorms,Medium,2,Snack,Scooter,2.0,Metropolitan,7.761839422154042
31,4.8,20.45,20.6,Sunny,Jam,1,Meal,Motorcycle,1.0,Metropolitan,10.866215152975023
20,4.5,20.35,20.4,Sandstorms,Jam,2,Buffet,Scooter,0.0,Urban,11.719471817434323
39,4.5,9.15,9.2,Stormy,Low,1,Drinks,Motorcycle,1.0,Metropolitan,1.5125976112065025
38,4.5,21.15,21.3,Sandstorms,Jam,2,Snack,ElectricScooter,0.0,Metropolitan,19.975696041451314
33,4.9,19.15,19.2,Stormy,Jam,2,Snack,Scooter,1.0,Metropolitan,16.90249592854745
24,4.9,19.6,20.15,Sandstorms,Jam,1,Drinks,Motorcycle,0.0,Metropolitan,12.256834609677016
35,4.0,17.55,18.1,Stormy,Medium,2,Drinks,ElectricScooter,0.0,Metropolitan,7.7725232004434295
32,4.0,12.4,12.5,Sandstorms,High,2,Buffet,Motorcycle,1.0,Metropolitan,6.209089325963786
26,4.9,21.15,21.2,Windy,Jam,2,Snack,Scooter,0.0,Metropolitan,10.64201906419996
31,4.7,18.5,18.55,Sunny,Medium,2,Meal,Motorcycle,1.0,Metropolitan,4.663432062512584
33,4.7,22.5,22.6,Stormy,Low,1,Meal,Scooter,1.0,Metropolitan,4.560890658020926
25,4.0,23.55,23.6,Stormy,Low,0,Meal,Motorcycle,0.0,Metropolitan,7.567362984077063
37,4.3,19.35,19.45,Cloudy,Jam,0,Buffet,Motorcycle,0.0,Metropolitan,4.588387206077805
37,4.5,22.6,23.1,Fog,Low,1,Meal,Scooter,1.0,Metropolitan,4.663344843093785
26,5.0,21.6,22.1,Sandstorms,Jam,2,Buffet,Motorcycle,1.0,Metropolitan,9.348356419300423
37,4.8,19.15,19.2,Sunny,Jam,0,Buffet,Motorcycle,0.0,Metropolitan,9.315071060294844
37,4.8,17.55,18.05,Cloudy,Medium,1,Buffet,Scooter,1.0,Urban,7.76260023979039
30,4.7,22.25,22.3,Windy,Low,0,Drinks,Motorcycle,1.0,Metropolitan,16.72143013885536
27,4.7,22.35,22.5,Windy,Low,1,Drinks,Scooter,1.0,Urban,16.38508523506451
36,4.3,22.45,22.55,Cloudy,Low,2,Snack,Scooter,1.0,Metropolitan,19.628433732209125
31,3.9,23.4,23.5,Cloudy,Low,1,Buffet,Scooter,1.0,Metropolitan,10.709003371535417
22,4.5,8.2,8.35,Stormy,Low,1,Meal,Scooter,0.0,Metropolitan,3.018841258628892
33,4.6,22.6,23.1,Sunny,Low,1,Buffet,Scooter,0.0,Urban,13.989147573068443
28,4.6,21.55,22.05,Stormy,Jam,1,Snack,Motorcycle,0.0,Semi-Urban,7.34386385823289
23,4.7,14.6,15.15,Sandstorms,High,1,Buffet,Scooter,1.0,Urban,5.87414902156866
20,4.7,22.3,22.45,Sunny,Low,0,Drinks,Motorcycle,1.0,Urban,12.108745430933551
38,4.9,11.35,11.5,Sunny,High,1,Snack,Motorcycle,1.0,Metropolitan,1.5102059212854184
21,4.7,22.35,22.45,Sandstorms,Low,0,Drinks,Motorcycle,1.0,Metropolitan,20.20631581133856
34,4.5,17.2,17.3,Sunny,Medium,1,Drinks,Motorcycle,1.0,Urban,12.419848147906496
33,4.9,22.4,22.45,Windy,Low,2,Meal,ElectricScooter,1.0,Urban,10.865776701899678
32,4.9,22.3,22.45,Sandstorms,Low,0,Buffet,Motorcycle,1.0,Urban,19.661098170299198
24,4.6,11.45,11.6,Fog,High,0,Drinks,Motorcycle,0.0,Metropolitan,3.0186622920269803
22,4.7,21.15,21.3,Stormy,Jam,2,Meal,Scooter,0.0,Metropolitan,8.937863682516157
33,4.8,21.15,21.3,Stormy,Jam,1,Snack,Scooter,1.0,Metropolitan,4.663438748149054
35,4.9,23.1,23.25,Sunny,Low,1,Snack,Motorcycle,0.0,Urban,9.313705947300656
37,4.5,22.35,22.4,Stormy,Low,0,Snack,Motorcycle,1.0,Metropolitan,8.952548604467738
26,4.7,22.45,22.55,Sandstorms,Low,2,Snack,Motorcycle,1.0,Urban,10.565128845647761
34,4.6,20.5,21.05,Sunny,Jam,2,Meal,Scooter,1.0,Metropolitan,20.85154468962371
22,4.7,23.35,23.4,Sunny,Low,2,Drinks,Scooter,0.0,Semi-Urban,4.596738270616882
24,4.7,17.25,17.3,Sandstorms,Medium,2,Drinks,ElectricScooter,0.0,Metropolitan,19.877584031408645
28,3.3,22.2,22.25,Sunny,Low,2,Buffet,Scooter,0.0,Metropolitan,10.86586608780909
27,4.9,11.4,11.55,Cloudy,High,1,Snack,Scooter,0.0,Metropolitan,1.5522933461661421
34,4.4,20.3,20.45,Stormy,Jam,0,Buffet,Motorcycle,1.0,Metropolitan,13.611585111772158
26,4.6,22.35,22.4,Windy,Low,1,Drinks,Scooter,1.0,Metropolitan,11.916606438888204
34,4.9,23.1,23.15,Sandstorms,Low,2,Drinks,Scooter,1.0,Metropolitan,13.972053024557594
32,4.9,20.15,20.3,Sandstorms,Jam,0,Drinks,Motorcycle,2.0,Urban,10.565128845647761
20,4.9,17.3,17.4,Stormy,Medium,2,Drinks,Scooter,1.0,Metropolitan,16.15327446861657
27,4.2,20.15,20.2,Cloudy,Jam,2,Drinks,ElectricScooter,0.0,Metropolitan,16.41201262107611
20,4.6,10.35,10.5,Fog,Low,2,Snack,Scooter,0.0,Urban,3.1051455399287056
24,4.6,23.55,24.05,Cloudy,Low,1,Snack,Motorcycle,1.0,Metropolitan,11.91623515721786
31,4.6,20.2,20.25,Sunny,Jam,2,Meal,Scooter,0.0,Metropolitan,17.076407856166536
39,4.8,13.4,13.45,Sunny,High,0,Buffet,Motorcycle,1.0,Metropolitan,6.116927321899057
39,4.9,23.15,23.2,Sandstorms,Low,2,Drinks,Motorcycle,1.0,Metropolitan,4.59595027478907
31,3.8,22.55,23.1,Fog,Low,1,Buffet,Motorcycle,2.0,Metropolitan,16.11418469938882
31,4.5,9.2,9.35,Fog,Low,1,Buffet,Scooter,0.0,Metropolitan,3.02711617518989
31,4.2,21.5,21.6,Windy,Jam,1,Buffet,Motorcycle,1.0,Metropolitan,12.435540495461442
38,4.3,21.4,21.45,Sandstorms,Jam,1,Drinks,Scooter,1.0,Metropolitan,19.658828717454107
27,4.7,13.2,13.3,Sunny,High,2,Drinks,Motorcycle,1.0,Metropolitan,6.208827615119002
35,4.9,19.3,19.35,Sunny,Jam,0,Snack,Motorcycle,0.0,Metropolitan,9.055981117924203
36,4.8,18.2,18.3,Sunny,Medium,1,Meal,Motorcycle,1.0,Urban,19.76171176132034
30,4.7,22.15,22.2,Stormy,Low,2,Snack,Scooter,1.0,Metropolitan,12.464066309794568
37,4.0,19.15,19.2,Windy,Jam,0,Snack,Motorcycle,1.0,Metropolitan,10.865584127340643
24,4.8,10.25,10.3,Windy,Low,2,Meal,Scooter,0.0,Metropolitan,1.5545437335214782
25,4.8,18.6,19.15,Sandstorms,Medium,1,Buffet,Scooter,0.0,Metropolitan,13.584306064167167
26,4.5,19.3,19.45,Sunny,Jam,1,Meal,Motorcycle,1.0,Metropolitan,7.648280480148493
34,3.7,17.3,17.4,Sandstorms,Medium,1,Snack,Motorcycle,1.0,Metropolitan,13.58314386669513
35,5.0,23.25,23.4,Sandstorms,Low,2,Snack,Motorcycle,0.0,Urban,7.440930174365867
30,4.8,14.5,14.6,Sunny,High,2,Meal,Scooter,1.0,Metropolitan,6.176431857672641
29,5.0,22.45,22.6,Fog,Low,2,Meal,Scooter,0.0,Metropolitan,11.916990180554908
37,5.0,21.25,21.3,Cloudy,Jam,1,Snack,Scooter,1.0,Metropolitan,10.254765380990598
21,4.6,9.15,9.3,Sunny,Low,0,Drinks,Motorcycle,1.0,Urban,2.9845983784434726
34,4.9,10.55,11.05,Windy,Low,1,Drinks,Scooter,0.0,Metropolitan,1.5204190072774333
