DeliveryPersonAge,DeliveryPersonRatings,TimeOrdered,TimeOrderPickedUp,Sunny,Fog,Windy,Stormy,Sandstorms,Low,Medium,Jam,VehicleCondition,Snack,Drinks,Meal,Scooter,Motorcycle,MultipleDeliveries,Semi-Urban,Urban,Distance(km)
28,4.8,9.35,9.5,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1.0,0,0,1.5581244322254744
27,4.0,13.3,13.4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.0,0,0,6.209976450705328
33,4.4,11.45,11.5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0,1,1.5148058859292481
34,4.9,17.2,17.25,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1.0,0,0,10.725127399399225
30,4.7,10.5,10.55,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0.0,0,0,3.0408931296411703
35,4.7,21.45,21.5,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1.0,0,0,16.383856071848083
30,4.8,12.55,13.05,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0,1,6.209476177667662
33,4.4,8.3,8.4,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1.0,0,0,1.5368503798521727
30,4.6,8.6,9.15,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1.0,0,0,1.5367917694809952
32,4.7,17.2,17.3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1.0,0,0,4.528183776759067
30,4.1,20.3,20.35,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1.0,0,1,4.5411497543865105
27,4.7,13.2,13.3,1,0,0,0,0,0,0,0,2,0,1,0,0,1,1.0,0,0,6.208827615119002
22,4.7,19.4,19.5,0,0,0,1,0,0,0,1,2,1,0,0,1,0,1.0,0,1,12.463861442061555
30,4.6,8.6,9.15,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0,0,3.064267071068136
37,5.0,23.1,23.25,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1.0,0,0,14.021819246588827
27,4.5,18.4,18.45,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1.0,0,1,9.181151801248024
36,4.6,20.25,20.35,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1.0,0,0,13.413644078076244
21,4.4,9.6,10.15,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1.0,0,0,1.5523608800116515
39,4.7,14.55,14.6,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1.0,0,0,6.232373129283698
36,4.0,19.6,20.1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.0,0,0,12.421407858787804
20,4.6,23.55,24.1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1.0,0,0,13.682504886916606
32,4.0,15.5,15.55,0,0,0,0,1,0,1,0,1,1,0,0,0,1,2.0,0,0,6.080888252609821
32,4.7,22.5,23.05,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1.0,0,0,16.903235903519843
30,4.7,17.4,17.45,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0.0,0,0,9.363543018983561
30,5.0,21.4,21.45,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1.0,0,0,13.583302501334014
28,3.3,22.2,22.25,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0.0,0,0,10.86586608780909
39,4.9,19.1,19.2,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1.0,0,1,17.07799287216204
26,4.2,13.3,13.45,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1.0,0,0,6.080949025950904
36,4.7,16.35,16.4,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0.0,0,0,6.217834398578936
22,4.9,10.55,11.1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1.0,0,0,1.5367917694809952
36,4.1,18.5,18.6,0,0,0,1,0,0,1,0,2,0,0,1,1,0,2.0,0,0,20.20634489518928
28,4.9,8.15,8.3,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1.0,0,0,2.979750394372844
36,4.2,19.3,19.35,0,1,0,0,0,0,0,1,2,1,0,0,1,0,1.0,0,0,10.756697879102619
37,4.6,21.2,21.3,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1.0,0,0,9.314781588433535
24,4.5,22.5,23.05,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0.0,0,0,17.074879617078196
36,4.8,8.15,8.25,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1.0,0,0,1.4651587132830592
30,4.8,22.4,22.45,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1.0,0,1,17.164609401577533
21,4.9,20.6,21.05,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1.0,0,0,7.683892680377775
24,4.7,23.1,23.2,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0.0,0,1,12.256834609677016
22,4.7,23.35,23.4,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0.0,0,1,8.93752787352923
27,4.9,17.2,17.25,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0.0,0,0,12.107734496942113
33,4.5,20.45,20.5,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1.0,0,0,4.5282465767387095
27,4.6,22.55,23.1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0,0,13.989532967705534
31,4.4,21.3,21.35,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1.0,0,0,13.766116995711348
34,3.7,23.35,23.4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,2.0,0,0,13.973182653917394
21,4.9,9.5,10.05,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.0,0,0,3.0295354155430836
21,4.9,21.45,21.55,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0.0,0,0,4.5282465767387095
20,4.8,22.3,22.35,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1.0,0,0,12.464422665211348
31,4.4,19.15,19.3,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1.0,0,0,4.596951629499115
28,4.6,20.5,21.05,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0.0,0,0,20.206226468830582
38,4.5,10.2,10.25,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1.0,0,1,1.5524171512659315
24,4.9,20.45,20.6,1,0,0,0,0,0,0,1,2,1,0,0,1,0,1.0,0,1,20.285391243059973
37,4.7,18.45,18.5,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1.0,0,1,7.763180727989779
29,4.9,19.45,19.5,0,1,0,0,0,0,0,1,2,0,0,1,1,0,0.0,0,0,4.469352052738077
20,4.9,21.3,21.45,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0.0,0,1,7.7614224372753755
28,4.7,10.25,10.3,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,0,1,3.0528213653155487
24,4.1,22.1,22.25,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.0,0,0,9.315035594044879
31,4.6,10.2,10.25,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1.0,0,0,3.05960707159485
36,4.5,23.5,23.55,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0.0,0,1,13.968842021961057
35,4.2,23.6,24.05,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0.0,0,1,9.121136119359766
29,4.6,17.15,17.2,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1.0,0,0,9.074331008326515
32,4.7,21.55,22.05,0,0,0,0,1,0,0,1,2,0,0,0,1,0,1.0,0,0,8.938685874463816
22,4.8,20.45,20.6,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1.0,0,0,10.865584127340643
24,4.9,23.25,23.35,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0,0,19.688340311678566
38,4.3,19.5,20.05,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0,0,1,10.868212517103021
35,4.8,8.55,9.1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0.0,0,0,1.5320260227341909
33,4.7,20.35,20.4,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1.0,0,0,4.560734055769101
23,4.9,17.4,17.5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0,0,19.661019603214875
29,4.8,21.1,21.2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1.0,0,0,13.184483852766967
35,4.2,19.55,20.05,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1.0,0,1,17.13749142638821
20,4.8,23.1,23.25,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0.0,0,1,7.772253320446165
31,4.5,9.2,9.35,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.0,0,0,3.02711617518989
24,2.8,22.55,23.05,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1.0,0,0,12.463883024166657
32,4.0,19.2,19.25,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1.0,0,1,11.720187303218541
29,5.0,22.45,22.6,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0.0,0,0,11.916990180554908
20,4.8,20.1,20.25,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0.0,0,0,13.613850325840419
35,4.9,21.3,21.45,0,1,0,0,0,0,0,1,2,0,1,0,1,0,1.0,0,0,13.405500819756533
30,5.0,9.4,9.45,1,0,0,0,0,1,0,0,2,0,1,0,1,0,1.0,0,0,1.5125976112065025
34,5.0,23.15,23.3,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0.0,0,0,13.427981831457974
29,4.7,20.25,20.4,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0.0,0,0,10.602450942886513
32,3.7,19.6,20.15,0,0,0,0,1,0,0,1,2,0,0,1,1,0,1.0,0,0,12.418029175076608
28,4.9,20.6,21.05,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0,0,20.253088868519526
24,2.9,22.2,22.25,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1.0,0,0,10.641495972351702
32,4.6,17.2,17.25,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1.0,0,0,9.362994333550702
33,4.6,22.6,23.1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.0,0,1,13.989147573068443
24,4.8,13.2,13.25,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0.0,0,1,5.959018323622379
39,5.0,17.6,18.15,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0.0,0,0,7.760775621293676
27,4.5,22.15,22.3,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,0,1,7.562921044749782
35,4.7,21.4,21.55,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0.0,0,0,17.137482577838597
36,5.0,19.25,19.4,0,0,0,0,1,0,0,1,2,0,0,1,0,1,1.0,0,0,13.612393202818852
29,4.7,21.6,22.05,0,0,0,1,0,0,0,1,2,0,1,0,1,0,1.0,0,0,10.602507301514994
25,4.8,22.4,22.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0,0,9.313691518325752
26,4.8,8.3,8.35,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0.0,0,0,3.0295246341921644
38,4.8,18.2,18.3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1.0,1,0,7.762092914972186
22,4.8,23.6,24.05,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.0,0,0,10.586541004121504
36,4.2,21.45,21.5,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0.0,0,0,9.326940869812143
27,4.0,22.35,22.45,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1.0,0,0,4.588360239493078
29,4.7,22.2,22.25,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1.0,0,0,14.04518868581413
35,4.1,22.6,23.05,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1.0,0,0,10.255391358669385
34,5.0,17.3,17.45,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1.0,0,0,20.85246332426527
29,4.7,23.15,23.3,0,0,0,0,1,1,0,0,2,1,0,0,1,0,1.0,0,0,13.409462339213027
25,4.3,17.45,17.55,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1.0,0,0,19.658828717454107
38,4.3,21.3,21.45,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2.0,0,0,16.636744591831217
21,4.7,18.5,19.05,0,0,1,0,0,0,1,0,2,0,1,0,0,0,1.0,0,1,17.076712975302453
38,4.2,14.6,15.15,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,0,0,6.049834150687609
33,4.6,17.45,17.6,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.0,0,0,16.83090555193196
21,4.7,23.25,23.3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1.0,0,1,8.938093974530164
31,5.0,10.4,10.45,0,0,0,1,0,1,0,0,2,1,0,0,0,1,1.0,0,0,3.0408931296411703
34,3.8,19.45,19.6,0,0,0,0,1,0,0,1,2,0,1,0,1,0,2.0,0,1,20.85154468962371
33,3.6,23.5,24.05,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1.0,0,1,19.913009545593138
24,4.5,22.45,22.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.0,0,0,10.70546847853061
24,4.6,23.55,24.05,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.0,0,0,12.256046315965444
23,4.8,19.45,19.6,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1.0,0,0,4.610339345524684
27,4.5,22.5,22.55,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1.0,0,1,16.903843893839564
24,4.8,21.1,21.15,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2.0,0,1,19.688246931881576
29,4.8,21.55,22.1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0,0,16.385730104308024
32,4.3,17.25,17.3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1.0,0,0,12.078017632301941
24,4.6,16.5,16.6,0,0,0,0,1,0,1,0,2,0,1,0,1,0,1.0,0,0,6.232380002107721
37,4.5,20.4,20.5,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1.0,0,0,12.293290453033773
37,4.3,19.35,19.45,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0,4.588387206077805
28,4.5,18.45,18.6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0,0,0,12.074224380435524
24,4.8,23.45,23.55,0,1,0,0,0,1,0,0,2,0,0,1,1,0,1.0,0,0,10.5652785705811
38,4.6,23.25,23.3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0,0,0,16.85256546543028
20,4.9,23.2,23.3,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0.0,0,1,4.561152341209805
34,4.7,22.6,23.05,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0.0,0,0,6048.631240095335
33,4.5,11.25,11.4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0.0,0,1,4422.297714580907
36,4.9,23.6,24.05,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1.0,0,0,7.683253857182166
28,4.5,19.6,20.1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.0,0,0,16.851371030914212
20,4.9,13.6,14.1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.0,0,0,6.217860329667253
20,5.0,20.15,20.3,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0.0,0,0,13.735965288529389
23,4.6,10.15,10.3,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.0,0,0,3.1089029191679383
35,5.0,20.6,21.05,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0,0,4.537940846050908
36,5.0,9.3,9.35,1,0,0,0,0,1,0,0,2,0,0,1,1,0,1.0,0,0,5169.285576764973
27,4.6,20.55,21.05,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1.0,0,0,7.761486237714824
37,4.8,19.15,19.2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0,9.315071060294844
29,4.2,10.1,10.25,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.0,0,0,3.0251533668867396
24,4.8,13.2,13.25,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0.0,0,1,5.959018323622379
23,4.5,17.35,17.45,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0.0,0,0,13.428872375814215
36,4.9,22.1,22.15,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1.0,0,0,9.075521306663484
23,4.8,11.4,11.45,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0.0,0,0,2.981217855191797
35,4.5,18.15,18.25,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0,0,0,7.6495063183287915
34,5.0,18.3,18.45,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.0,0,1,10.90628903651029
22,4.9,10.55,10.6,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1.0,1,0,1.5580841994904555
33,4.7,19.25,19.3,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1.0,0,0,20.20525323529291
37,4.7,22.35,22.4,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1.0,0,0,4.663566689152146
29,4.7,8.35,8.45,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1.0,0,0,3.0644857806760535
21,4.2,22.55,22.6,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0.0,0,1,7.772618958964861
24,4.5,19.25,19.4,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1.0,0,1,13.583440059634135
37,4.6,17.5,17.6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0,0,4.476870823146776
27,4.6,22.4,22.55,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0.0,0,0,16.636808584025772
32,4.5,18.25,18.35,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1.0,0,0,19.882650147415998
23,4.6,19.6,20.05,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2.0,0,0,16.659890497111146
21,4.7,8.5,9.05,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1.0,0,0,3.1161417126181274
33,4.9,19.5,19.6,0,1,0,0,0,0,0,1,2,0,0,1,0,1,1.0,0,0,20.177742451194362
29,4.7,18.2,18.25,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0.0,0,0,19.617824561450774
32,4.9,18.55,19.1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,0,0,13.68149202266889
23,4.7,23.25,23.4,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1.0,0,0,16.85208641567295
26,4.3,10.15,10.3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0.0,0,0,1.4883409409467787
26,4.6,23.55,24.05,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0.0,0,1,4.579042936877916
39,4.1,21.6,22.05,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1.0,0,1,19.761110067714096
22,4.8,19.3,19.35,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1.0,0,0,10.562878909252845
38,4.9,19.6,20.05,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1.0,0,0,13.631330662170873
37,4.6,23.5,23.6,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1.0,0,0,10.56497410160339
22,4.8,15.1,15.25,0,0,1,0,0,0,1,0,2,1,0,0,1,0,1.0,0,0,6.242426324082786
24,4.7,20.6,21.15,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1.0,0,0,7.562108717550266
34,4.8,23.55,23.6,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1.0,0,0,14.022268860182423
26,4.7,23.15,23.2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0,0,7.6481792534738355
28,4.5,22.4,22.45,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1.0,0,0,16.787874845260117
30,4.7,22.25,22.3,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1.0,0,0,16.72143013885536
23,4.9,18.15,18.2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,0,0,4.657127681974745
27,4.6,19.1,19.25,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2.0,0,0,13.63122853449607
38,4.9,17.3,17.35,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1.0,0,0,19.617929437389435
36,4.9,16.15,16.25,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2.0,0,1,6.037116126732456
26,4.8,19.3,19.35,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1.0,0,0,13.829273672567021
20,4.9,20.5,21.05,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0,0,4.65825552423237
36,4.7,22.1,22.2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1.0,0,0,12.292885177860324
36,4.2,22.25,22.35,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0.0,0,0,16.600272418856072
35,4.6,21.1,21.25,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1.0,0,0,16.72115728076054
20,4.8,18.5,18.6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1.0,0,0,16.60095424935038
31,4.3,11.5,11.55,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1.0,0,0,3.0733915714431617
26,4.7,19.1,19.25,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1.0,0,1,10.60245939514964
39,4.9,20.5,20.55,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1.0,0,0,9.157673042594519
30,4.9,22.25,22.4,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0.0,0,0,10.427299400994952
25,4.7,21.3,21.35,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2.0,0,0,10.721987300671117
26,4.6,17.45,17.6,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0.0,0,0,16.83046129455743
31,4.6,22.3,22.45,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1.0,0,0,7.763607607839511
24,4.3,20.25,20.35,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1.0,0,0,19.394555235256966
35,4.2,8.2,8.25,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0.0,0,0,1.5147861398649296
26,4.5,22.35,22.4,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0.0,0,1,19.915298664494234
21,4.9,18.55,19.1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1.0,0,0,4.395007361329002
25,4.7,22.6,23.1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.0,0,0,20.17741678822261
28,4.5,17.1,17.2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0,0,1,10.710903359654202
24,4.9,19.6,20.15,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0.0,0,0,12.256834609677016
20,4.6,23.4,23.5,0,0,0,0,0,1,0,0,2,1,0,0,1,0,1.0,0,0,20.181059137197778
25,4.7,18.55,19.05,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.0,0,1,9.348109676504626
27,4.2,20.3,20.35,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.0,0,0,13.763896210757977
21,4.6,9.15,9.3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1.0,0,1,2.9845983784434726
36,4.7,16.45,16.5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1.0,0,0,6.036610249816451
25,4.4,17.4,17.45,0,0,0,0,0,0,1,0,2,0,0,1,1,0,1.0,0,0,12.098699936279859
34,4.7,19.2,19.25,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1.0,0,0,7.660895664241821
21,4.6,21.3,21.35,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0.0,0,0,7.601876617115989
29,4.2,10.3,10.35,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.0,0,1,1.5369061340343029
27,4.9,20.35,20.45,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1.0,0,0,4.5384079078628705
38,4.1,22.6,23.1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1.0,0,1,7.648322354566645
21,4.4,20.4,20.55,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1.0,0,0,12.434913132379245
21,4.8,16.25,16.4,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1.0,0,0,6.210607623190057
22,4.9,20.2,20.35,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0.0,0,0,4.464864633689885
26,4.3,8.25,8.4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0.0,0,1,3.1214062495331616
32,4.9,23.35,23.5,0,0,0,0,1,1,0,0,2,0,0,1,1,0,1.0,0,1,10.724956120302584
29,4.6,22.6,23.05,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1.0,0,0,19.762388480864143
35,4.3,20.45,20.5,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1.0,0,0,13.773737657079298
34,4.9,18.4,18.5,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0.0,0,0,20.176811965426136
28,4.6,20.35,20.4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1.0,0,0,7.546680469081603
31,4.7,21.35,21.5,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1.0,0,0,19.762388480864143
26,4.8,9.45,9.5,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1.0,0,1,3.1090243972299714
22,4.6,8.45,8.6,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1.0,0,1,1.5095756042667012
23,4.9,18.3,18.45,1,0,0,0,0,0,1,0,2,1,0,0,0,1,1.0,1,0,10.641495972351702
21,4.5,19.4,19.5,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0.0,0,0,9.326651352175272
